id,pred
2011_1103_1106,0.7155335502221064
2011_1103_1112,0.1595785064932238
2011_1103_1114,0.8454725948799818
2011_1103_1125,0.11150595939086418
2011_1103_1131,0.43115583170187816
2011_1103_1137,0.46944377182086744
2011_1103_1139,0.19261032791944446
2011_1103_1140,0.06890657440408408
2011_1103_1153,0.10871799190010788
2011_1103_1155,0.2869511247954077
2011_1103_1163,0.05801796777998382
2011_1103_1181,0.030980303112500416
2011_1103_1196,0.07273318262896149
2011_1103_1199,0.25658246808360563
2011_1103_1206,0.1698961042455922
2011_1103_1207,0.15300946651779587
2011_1103_1208,0.2692968327950319
2011_1103_1211,0.16920498272305828
2011_1103_1214,0.5049339473074577
2011_1103_1228,0.24773920241179012
2011_1103_1232,0.4810309953045953
2011_1103_1242,0.05784324651674469
2011_1103_1243,0.1559291123278443
2011_1103_1246,0.05834589599805327
2011_1103_1254,0.5364323312576695
2011_1103_1257,0.08371146707557447
2011_1103_1266,0.3077160497547679
2011_1103_1272,0.3102405291350255
2011_1103_1276,0.2916193835353175
2011_1103_1277,0.3936168354757222
2011_1103_1281,0.17410120241426122
2011_1103_1287,0.2554192087064439
2011_1103_1294,0.4462426831029112
2011_1103_1314,0.08593560280520424
2011_1103_1323,0.13977770463576525
2011_1103_1324,0.26710833031014963
2011_1103_1326,0.03612949050730981
2011_1103_1330,0.1407540719827247
2011_1103_1336,0.2589856514972802
2011_1103_1338,0.08178589421171562
2011_1103_1343,0.3595475560345469
2011_1103_1345,0.08890682405280098
2011_1103_1350,0.29675835794014044
2011_1103_1361,0.02994415529181676
2011_1103_1364,0.5378224073517018
2011_1103_1385,0.16702936343272623
2011_1103_1389,0.4998989295743267
2011_1103_1393,0.08831221628434409
2011_1103_1396,0.015609918975234439
2011_1103_1397,0.2236160263216762
2011_1103_1400,0.08582195085770315
2011_1103_1401,0.19017259024609107
2011_1103_1412,0.22317316756885303
2011_1103_1417,0.19831558099574526
2011_1103_1421,0.4413721922929805
2011_1103_1424,0.17651751656128664
2011_1103_1425,0.32089820289846643
2011_1103_1427,0.6793371544177624
2011_1103_1429,0.28336203877169597
2011_1103_1433,0.27695415221439107
2011_1103_1435,0.14625021129024188
2011_1103_1437,0.23949825472008382
2011_1103_1449,0.07309605541083686
2011_1103_1452,0.13818388739088314
2011_1103_1458,0.045953304769060004
2011_1103_1459,0.38121185625331483
2011_1103_1462,0.1482706598118999
2011_1106_1112,0.07018958920003647
2011_1106_1114,0.44327681144618936
2011_1106_1125,0.019245153136961624
2011_1106_1131,0.23155525859879938
2011_1106_1137,0.26022670600071757
2011_1106_1139,0.0866256020021586
2011_1106_1140,0.0285808481273865
2011_1106_1153,0.04625103063131229
2011_1106_1155,0.13792273891800103
2011_1106_1163,0.023900932328533776
2011_1106_1181,0.01255072756603181
2011_1106_1196,0.030240770031642727
2011_1106_1199,0.12065724873322724
2011_1106_1206,0.0752451699666745
2011_1106_1207,0.06700685695022544
2011_1106_1208,0.12779397757460928
2011_1106_1211,0.07490433637841065
2011_1106_1214,0.28850073744413735
2011_1106_1228,0.11576919102019569
2011_1106_1232,0.2692707514595591
2011_1106_1242,0.023826355827543222
2011_1106_1243,0.06841800727191175
